Times,Angle,Cur,Diff,Control
00:47.02,174.99942,181.0,-6.00058,0.15142
00:47.04,174.94194,182.0,-7.05806,0.202888
00:47.05,174.885101,181.0,-6.114899,0.129293
00:47.07,174.828537,181.0,-6.171463,0.155701
00:47.08,174.772507,181.0,-6.227493,0.157088
00:47.10,174.716919,180.0,-5.283081,0.108467
00:47.12,174.662018,179.0,-4.337982,0.084822
00:47.13,174.608047,179.0,-4.391953,0.111148
00:47.15,174.555222,178.0,-3.444778,0.06244
00:47.16,174.503708,177.0,-2.496292,0.038695
00:47.18,174.454071,176.0,-1.545929,0.014889
00:47.20,174.406494,175.0,-0.593506,0.008973
00:47.21,174.361389,174.0,0.361389,0.032907
00:47.23,174.319244,172.0,2.319244,0.106927
00:47.24,174.280487,171.0,3.280487,0.106043
00:47.26,174.24559,170.0,4.24559,0.130267
00:47.28,174.215012,169.0,5.215012,0.154611
00:49.66,-89.390427,259.0,11.609558,0.450103
00:49.68,-87.829185,259.0,13.170807,0.368301
00:49.69,-86.233376,259.0,14.766632,0.409061
00:50.88,2.969559,318.0,44.969543,1.5
00:50.89,4.219297,320.0,44.219299,1.086726
00:50.91,5.461373,322.0,43.461365,1.067586
00:50.92,6.686612,324.0,42.686615,1.047797
00:50.94,7.897752,326.0,41.897766,1.027723
00:50.96,9.093814,328.0,41.093811,1.007246
00:50.97,10.27379,330.0,40.273804,0.986345
00:50.99,11.437255,332.0,39.437256,0.965018
00:51.00,12.582983,334.0,38.582977,0.943218
00:51.02,13.709916,336.0,37.70993,0.920922
00:51.04,14.817342,338.0,36.817352,0.898119
00:51.05,15.904305,341.0,34.904297,0.824781
00:51.07,16.970045,343.0,33.970032,0.825894
00:51.08,18.014433,345.0,33.014435,0.801471
00:51.10,19.037331,347.0,32.037323,0.776505
00:51.12,20.03833,349.0,31.03833,0.750983
00:51.13,21.017141,351.0,30.017151,0.724899
00:51.15,21.973476,353.0,28.97348,0.698245
00:51.16,22.907812,354.0,28.907806,0.721053
00:51.18,23.820084,356.0,27.820068,0.668308
00:51.20,24.710602,358.0,26.710602,0.640028
00:51.21,25.578478,0.0,25.578478,0.611159
00:51.23,26.424276,2.0,24.424276,0.581752
00:51.24,27.247578,3.0,24.247578,0.601772
00:51.26,28.048832,5.0,23.048832,0.546252
00:51.28,28.827658,7.0,21.827658,0.515162
00:51.29,29.583597,8.0,21.583597,0.533488
00:51.31,30.317131,10.0,20.317131,0.476267
00:51.32,31.027575,12.0,19.027575,0.44345
00:51.34,31.714439,13.0,18.714439,0.460033
00:51.36,32.37817,15.0,17.37817,0.401048
00:51.37,33.019379,16.0,17.019379,0.416515
00:51.39,33.638584,18.0,15.638584,0.356445
00:51.40,34.237156,20.0,14.237156,0.320893
00:51.42,34.815353,21.0,13.815353,0.334839
00:51.44,35.374943,22.0,13.374943,0.323363
00:51.45,35.916679,24.0,11.916679,0.26146
00:51.47,36.441082,25.0,11.441082,0.274137
00:51.48,36.948463,26.0,10.948463,0.261396
00:51.50,37.44014,28.0,9.44014,0.198295
00:51.52,37.916199,29.0,8.916199,0.209806
00:51.53,4.510149,30.0,-25.489851,1.497398
00:51.55,4.356804,32.0,-27.643196,0.744914
00:51.56,4.186083,33.0,-28.813917,0.749616
00:51.58,4.012512,33.0,-28.987488,0.729026
00:51.60,3.830705,34.0,-30.169294,0.783778
00:51.61,3.64034,34.0,-30.359661,0.763751
00:57.66,96.714195,337.0,119.714203,1.5
00:57.68,99.949463,336.0,123.949463,1.5
00:57.69,103.054718,335.0,128.054718,1.5
00:57.71,106.024971,335.0,131.024963,1.5
