Times,I Value,J Value
00:08.22,3570.490234,1471.633057
00:08.24,3561.531006,1471.082520
00:08.25,3552.551270,1470.508545
00:08.27,3543.553955,1469.910645
00:08.28,3534.498291,1469.285889
00:08.30,3525.408691,1468.635498
00:08.32,3516.284912,1467.960083
00:08.33,3507.127197,1467.258789
00:08.35,3497.935791,1466.532227
00:08.36,3488.710449,1465.780640
00:08.38,3479.451660,1465.003296
00:08.40,3470.159180,1464.200684
00:08.41,3460.833252,1463.371948
00:08.43,3451.474121,1462.517578
00:08.44,3442.081787,1461.636719
00:08.46,3432.656250,1460.828369
00:08.48,3423.197754,1460.110107
00:08.49,3413.708252,1459.384399
00:08.51,3404.187988,1458.652954
00:08.52,3394.637207,1457.922363
00:08.54,3385.056152,1457.195801
00:08.56,3375.445068,1456.487915
00:08.57,3365.804199,1455.769287
00:08.59,3356.133789,1455.053345
00:08.60,3346.433594,1454.353271
00:08.62,3336.704346,1453.671997
00:08.64,3326.945557,1452.991211
00:08.65,3317.157471,1452.308594
00:08.67,3307.340332,1451.631836
00:08.68,3297.493896,1450.975830
00:08.70,3287.619141,1450.339966
00:08.72,3277.716064,1449.703979
00:08.73,3267.783691,1449.077148
00:08.75,3257.822266,1448.459961
00:08.76,3247.832031,1447.853394
00:08.78,3237.813965,1447.255371
00:08.80,3227.768799,1446.680786
00:08.81,3217.696045,1446.119263
00:08.83,3207.594727,1445.556519
00:08.84,3197.465820,1445.012329
00:08.86,3187.309326,1444.481323
00:08.88,3177.126709,1443.970215
00:08.89,3166.916992,1443.458862
00:08.91,3156.682861,1442.961304
00:08.92,3146.424805,1442.484985
00:08.94,3136.134521,1442.011719
00:08.96,3125.813477,1441.531250
00:08.97,3115.463623,1441.077026
00:08.99,3105.083008,1440.620361
00:09.00,3094.671387,1440.160034
00:09.02,3084.230469,1439.739990
00:09.04,3073.756836,1439.297729
00:09.05,3063.251953,1438.869141
00:09.07,3052.718262,1438.505981
00:09.08,3042.151367,1438.127930
