isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1223951824
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1223951824
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1223951824
isOffTrack check: left=0, right=0, total=1244744048
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1246320352
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245248336
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1244047360
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1244766128
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1245398144
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1246162480
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1227735488
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=0
isOffTrack check: left=0, right=0, total=1227735488
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=0
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1227735488
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1227735488
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=0
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1227735488
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=0
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1227735488
isOffTrack check: left=0, right=0, total=1289891392
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1227735488
isOffTrack check: left=0, right=0, total=1243959616
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1227735488
isOffTrack check: left=0, right=0, total=1280947568
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1224468384
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=0
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1224468384
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1224676368
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=0
isOffTrack check: left=0, right=0, total=1224468384
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1224676368
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1224468384
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1224676368
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1224468384
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1224676368
isOffTrack check: left=0, right=0, total=1244921104
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1224468384
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1224676368
isOffTrack check: left=0, right=0, total=0
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1224468384
isOffTrack check: left=0, right=0, total=0
isOffTrack check: left=0, right=0, total=1224676368
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1224468384
isOffTrack check: left=0, right=0, total=1278154656
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1261748800
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1244801632
isOffTrack check: left=0, right=0, total=1224676368
isOffTrack check: left=0, right=0, total=1245207568
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1243650592
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1245680096
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1278089216
isOffTrack check: left=0, right=0, total=1224468128
isOffTrack check: left=0, right=0, total=1243784816
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1244921424
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1224221600
isOffTrack check: left=0, right=0, total=1243130384
isOffTrack check: left=0, right=0, total=1223813504
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1244358256
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1278015824
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1244910752
isOffTrack check: left=0, right=0, total=1224676368
isOffTrack check: left=0, right=0, total=1224310928
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1227540816
isOffTrack check: left=0, right=0, total=-952141904
isOffTrack check: left=0, right=0, total=1227550864
isOffTrack check: left=0, right=0, total=1224676368
isOffTrack check: left=0, right=0, total=1244673920
isOffTrack check: left=0, right=0, total=-952141904
